title	line_comment_token	wikipedia_daily_page_views	appeared
Java	//	5242	1995
JavaScript	//	4264	1995
C	//	6268	1972
Python	#	7204	1991
SQL	--	3084	1974
C++	//	4307	1985
PHP	//	3151	1995
Perl	#	1299	1987
MATLAB	%	2338	1984
Ruby	#	1731	1995
C#	//	2794	2000
MySQL	--	2139	1995
Fortran	!	2052	1957
R	#	3651	1993
Go	//	2602	2009
Scala	//	1496	2004
Swift	//	1501	2014
Ada	--	768	1980
COBOL	*>	1302	1959
Rust	//	1159	2010
PostgreSQL	--	1262	1986
Kotlin	//	1638	2011
PowerShell	#	1173	2006
Pascal	//	1116	1970
Haskell	--	1177	1990
TypeScript	//	1098	2012
SAS	*	151	1976
ARM	;	2538	1985
Lua	--	1069	1993
Julia	#	640	2012
Prolog	%	1127	1972
Objective-C	//	910	1984
Clojure	;	610	2007
Scheme	;	705	1970
Erlang	%	857	1986
Bash	#	1271	1989
Elixir	#	413	2011
Dart	//	389	2011
Visual Basic	'	1574	1991
Tcl	#	567	1988
VBA	'	726	1993
BASIC	REM	1401	1964
Verilog	//	497	1984
awk	#	506	1977
Delphi	//	765	1995
Solidity	//	405	2014
F#	//	619	2005
Eiffel	--	240	1986
Crystal	#	143	2014
Yacc	//	229	1975
Elm	--	268	2012
Racket	;	286	1994
Groovy	//	577	2003
D	//	1008	2001
Common Lisp	;	334	1984
Sage	#	179	2005
Maple	#	231	1982
CoffeeScript	#	295	2009
VHDL	--	731	1983
APL	⍝	680	1964
OpenCL	//	702	2009
YAML	#	1529	2001
PostScript	%	473	1982
Nginx	#	795	2004
GraphQL	#	195	2012
Nim	#	176	2008
ANTLR	//	103	1992
LFE	;	37	2008
LaTeX	%	1540	1985
Visual Basic .NET	'	894	2001
Forth	\	392	1970
PureBasic	;	41	1998
Haxe	//	150	2005
VBScript	'	472	1996
CIL	//	212	2000
Chapel	//	63	2004
Applescript	--	200	1993
Oz	%	78	1991
Lasso	//	35	1995
fish	#	62	2005
LLVM IR	;	693	2003
Red	;	64	2011
Simula	!	218	1965
Protocol Buffers	//	439	2008
Idris	--	123	2014
Logo	;	575	1967
AMPL	#	109	1985
PicoLisp	#	19	1988
Tex	%	611	1978
BCPL	//	206	1966
PL/SQL	--	427	1991
Standard ML	#	301	1990
Dylan	//	73	1992
REBOL	;	21	1997
Processing	//	429	2001
Hack	//	243	2014
MIPS architecture	#	1025	1985
DOT	//	312	2007
Fantom	//	60	2005
Squirrel	//	65	2003
EuLisp	;	14	1985
Monkey	'	14	2011
Agda	--	102	2007
ABAP	*	439	1983
MUMPS	;	255	1966
HAML	-#	45	2006
Emacs Lisp	;	85	1985
AutoIt	;	158	1999
x86 Assembly	;	426	1972
Makefile	#	328	1976
Vala	//	190	2006
J	NB.	561	1990
Nemerle	//	37	2003
Icon	#	50	1977
Ballerina	//	37	2015
Scilab	//	214	1990
Io	//	48	2002
Turing	%	61	1982
Mercury	%	74	1995
QML	//	182	2009
Frege	--	31	2011
xBase	//	41	1986
GNU Octave	%	467	1988
Boo	#	128	2003
Hy	;	1	2013
SPARQL	#	379	2008
Ceylon	//	72	2011
SuperCollider	//	116	1996
SystemVerilog	//	225	2002
Clean	//	52	1987
SNOBOL	*	64	1962
Bison	//	125	1985
CLIPS	;	86	1985
Stata	//	319	1985
Pike	//	45	1994
NetLogo	;	80	1999
MiniD	//	13	2006
Perl 6	#	148	2015
ATS	//	71	2013
S-algol	!	9	1979
Csound	;	60	1985
Ini	;	546	1987
Lex	//	178	1975
AGC	#	561	1966
Xojo	//	75	1996
Java Bytecode	//	302	1995
E	#	77	1997
Alloy	//	31	1997
LiveScript	#	35	2011
Modelica	//	93	1997
Clipper	//	99	1985
Batchfile	REM	757	1985
M4	#	99	1977
Datalog	%	160	1977
Objective-J	//	31	2008
Dafny	//	1	2009
TLA	\*	167	1999
Seed7	#	37	2005
PowerBuilder	//	189	2010
Less	//	186	2009
eC	//	22	2004
AutoHotkey	;	308	2003
Classroom Object Oriented Language	--	25	1996
SETL	--	34	1969
ECL	//	1	2000
Falcon	//	57	2003
XBase++	//	19	1997
Netwide Assembler	;	117	1996
Transact-SQL	--	299	1984
Dc	#	36	1978
LiveCode	--	60	2001
K	/	113	1993
Croc	//	13	2006
True BASIC	!	23	1983
WxBasic	'	5	2002
GAP	#	1	1986
Sather	--	21	1990
Pig Latin	--	211	2008
CIL	//	85	1994
Ragel	#	29	2007
AspectJ	//	88	2001
Unicon	#	19	2008
Ring	#	42	2016
HOPE	---	25	1978
OpenVera	//	17	2001
Golo	#	12	2012
NSIS	;	97	2001
Expect	#	198	1990
BETA	//	27	1983
Action!	;	15	1983
Cg	//	189	2003
QB64	'	90	2007
UNLAMBDA	#	41	1999
IGOR Pro	//	39	1993
Augmented Backus-Naur Form	;	51	2008
Java Properties	#	205	1995
Ren'Py	#	130	2004
LPC	//	47	1995
Euphoria	--	25	1993
Guile	;	71	1993
KiXtart	;	27	1991
JADE	//	84	1996
ThinBasic	'	15	2004
CLOS	;	10	1988
JAI	//	7	2014
Yoix	//	9	2000
NetLinx	//	14	2007
P4	//	89	2014
Aldor	--	12	1990
Angelscript	//	29	2003
Z shell	#	261	1990
MQL5	//	52	2005
Tea	#	14	1997
FutureBASIC	//	11	1992
PIC	#	1	1988
PowerBASIC	'	43	1989
Turbo Basic	'	12	1987
StarOffice Basic	'	5	2000
Harbour	//	2	1999
Refal	*	16	1968
OpenSCAD	//	100	2010
Not Quite C	//	11	2017
BLISS	!	44	1969
OX	//	6	1996
SimCode	//	1	1997
ActiveVFP	*	13	2001
Whiley	//	10	2009
MVEL	//	43	2003
Raku	#	-1	2019
Strips	//	119	1969
Ch	//	63	2003
Ezhil	#	19	2007
Not eXactly C	//	21	2006
Mary	%	7	1970
Creative Basic	'	3	2008
Pan	#	4	2011
Treelang	//	2	1988
Script.NET	//	23	2007
VHDL-AMS	--	33	1993
Operational Control Language	//	4	1986
Opal	--	11	1994
Cypher Query Language	//	79	2011
XBLite	'	8	2001
Maya Embedded Language	//	50	2013
MACRO-10	;	4	1978
KRL	//	14	1976
NS Basic	//	17	1994
Rc	#	65	1989
Xbasic	'	1	1988
Gentoo Ebuild	#	13	1999
PROMAL	;	7	1986
Hocon	//	49	2011
Parrot BASIC	#	1	2009
Grammatical Framework	--	9	1998
Parser 3	#	8	1997
Frink	//	8	2001
BitBake	#	61	2004
Recfiles	#	-1	1994
CFScript	//	7	1999
RELAX NG	#	152	2001
S-PLUS	#	74	1988
Tuple space	//	56	1988
OCL	--	186	1997
Mouse	~	12	1970
C shell	#	19	1978
Charity	%	18	1992
DAX	//	76	2009
Judoscript	//	4	2001
Fjölnir	;	17	1986
BuddyScript	#	3	2002
OEM	//	6	1995
Lite-C	//	13	2007
Structured Query Reporter	!	62	1980
Action Code Script	//	7	2004
ISETL	--	1	1989
Pnuts	//	8	1997
OptimJ	//	10	2006
