year	tipo	p
1976	ipums	0.09181969949916524
1978	ipums	0.074757281553398
1980	ipums	0.08831168831168834
1982	ipums	0.09281961471103328
1984	ipums	0.0820379965457686
1986	ipums	0.09262948207171318
1988	ipums	0.08837656099903934
1990	ipums	0.10199999999999998
1992	ipums	0.12590448625180894
1994	ipums	0.13829787234042556
1996	ipums	0.16283650689428764
1998	ipums	0.1389539422326308
2000	ipums	0.13978494623655913
2002	ipums	0.13843774168600154
2004	ipums	0.14573268921095006
2006	ipums	0.14588427057864706
2008	ipums	0.13300892133008924
2010	ipums	0.12518518518518518
2012	ipums	0.17017954722872752
2014	ipums	0.1634854771784232
2016	ipums	0.15697211155378488
2018	ipums	0.2220309810671256
2020	ipums	0.24798061389337644
2022	ipums	0.22262118491921
1976	napp	0.09587813620071683
1978	napp	0.08611955420466055
1980	napp	0.09302325581395354
1982	napp	0.09878844361602979
1984	napp	0.086442220200182
1986	napp	0.09766454352441611
1988	napp	0.09304703476482623
1990	napp	0.10199789695057837
1992	napp	0.13292117465224107
1994	napp	0.15033301617507133
1996	napp	0.1674842326559215
1998	napp	0.14297520661157026
2000	napp	0.1463590483056958
2002	napp	0.14345287739783152
2004	napp	0.1532467532467533
2006	napp	0.14499121265377857
2008	napp	0.1396357328707719
2010	napp	0.1331194867682438
2012	napp	0.17270429654591402
2014	napp	0.16274864376130194
2016	napp	0.1724444444444444
2018	napp	0.2325800376647834
2020	napp	0.2714808043875686
2022	napp	0.249
1976	ssa	0.0985432733504713
1978	ssa	0.08529411764705885
1980	ssa	0.0978835978835979
1982	ssa	0.10698496905393462
1984	ssa	0.09114811568799297
1986	ssa	0.10909090909090913
1988	ssa	0.09844054580896688
1990	ssa	0.11010101010101014
1992	ssa	0.13981762917933127
1994	ssa	0.15647482014388492
1996	ssa	0.1727642276422764
1998	ssa	0.1612111292962357
2000	ssa	0.1566433566433566
2002	ssa	0.15614886731391586
2004	ssa	0.1694772344013491
2006	ssa	0.16455696202531644
2008	ssa	0.16036943744752308
2010	ssa	0.15390505359877493
2012	ssa	0.19318181818181823
2014	ssa	0.1787564766839378
2016	ssa	0.19620774938169827
2018	ssa	0.25297113752122236
2020	ssa	0.3198733174980206
2022	ssa	0.29935125115848005
